Product Image,Products Name,"Product Link (If the link does not work, please contact your CJ Agent)",SPU,Lists,Product Original Price ($),Product Unit Price After Discount ($),Shipping From,Verified Inventories,Unverified Inventories,Ship To,Logistics Cost Original Price ($),Logistics Cost After Discount ($),Customs Duty ($),Customs Clearance Fee ($),Total Amount Original Price ($),Total Amount After Discount ($),SKU Image,SKU,Specification Attribute 1,Specification Attribute Value 1,Specification Attribute 2,Specification Attribute Value 2,Specification Attribute 3,Specification Attribute Value 3,Variant Verified Inventories,Variant Unverified Inventories,SKU Unit Price Original Price ($),SKU Unit Price After Discount ($),Shipping Method,Delivery Time,Logistics Cost Original Price ($),Logistics Cost After Discount ($),Customs Duty ($),Customs Clearance Fee ($),Total Amount Original Price ($),Total Amount After Discount ($)
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,CJSN243818939MN,Specifications,Light Source Not Included,Size,Milk Green Floor Lamp,Electrical outlet,AU,0,9681,31.18,31.18,,,,,0.00,0.00,31.18,31.18
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN_US,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,CJSN243818939MN,Specifications,Light Source Not Included,Size,Milk Green Floor Lamp,Electrical outlet,AU,0,0,31.18,31.18,,,,,0.00,0.00,31.18,31.18
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://cf.cjdropshipping.com/quick/product/a49d170f-478c-4f86-af0a-016c9f842c0a.jpg,CJSN243818940NM,Specifications,Light Source Not Included,Size,Milk Green Table Lamp,Electrical outlet,EU,0,6158,14.26,14.26,,,,,0.00,0.00,14.26,14.26
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN_US,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://cf.cjdropshipping.com/quick/product/a49d170f-478c-4f86-af0a-016c9f842c0a.jpg,CJSN243818940NM,Specifications,Light Source Not Included,Size,Milk Green Table Lamp,Electrical outlet,EU,0,0,14.26,14.26,,,,,0.00,0.00,14.26,14.26
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://cf.cjdropshipping.com/quick/product/a49d170f-478c-4f86-af0a-016c9f842c0a.jpg,CJSN243818941OL,Specifications,Light Source Not Included,Size,Milk Green Table Lamp,Electrical outlet,UK,0,7042,14.26,14.26,,,,,0.00,0.00,14.26,14.26
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN_US,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://cf.cjdropshipping.com/quick/product/a49d170f-478c-4f86-af0a-016c9f842c0a.jpg,CJSN243818941OL,Specifications,Light Source Not Included,Size,Milk Green Table Lamp,Electrical outlet,UK,0,0,14.26,14.26,,,,,0.00,0.00,14.26,14.26
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://cf.cjdropshipping.com/quick/product/a49d170f-478c-4f86-af0a-016c9f842c0a.jpg,CJSN243818942PK,Specifications,Light Source Not Included,Size,Milk Green Table Lamp,Electrical outlet,AU,0,5141,14.26,14.26,,,,,0.00,0.00,14.26,14.26
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN_US,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://cf.cjdropshipping.com/quick/product/a49d170f-478c-4f86-af0a-016c9f842c0a.jpg,CJSN243818942PK,Specifications,Light Source Not Included,Size,Milk Green Table Lamp,Electrical outlet,AU,0,0,14.26,14.26,,,,,0.00,0.00,14.26,14.26
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://oss-cf.cjdropshipping.com/product/2025/07/24/02/c3cee5ef-ae6a-423c-8365-a19a2a08dc90.jpg,CJSN243818943QJ,Specifications,Light Source Not Included,Size,Red,Electrical outlet,EU,0,6186,31.18,31.18,,,,,0.00,0.00,31.18,31.18
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN_US,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://oss-cf.cjdropshipping.com/product/2025/07/24/02/c3cee5ef-ae6a-423c-8365-a19a2a08dc90.jpg,CJSN243818943QJ,Specifications,Light Source Not Included,Size,Red,Electrical outlet,EU,0,0,31.18,31.18,,,,,0.00,0.00,31.18,31.18
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://oss-cf.cjdropshipping.com/product/2025/07/24/02/c3cee5ef-ae6a-423c-8365-a19a2a08dc90.jpg,CJSN243818944RI,Specifications,Light Source Not Included,Size,Red,Electrical outlet,UK,0,6029,31.18,31.18,,,,,0.00,0.00,31.18,31.18
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN_US,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://oss-cf.cjdropshipping.com/product/2025/07/24/02/c3cee5ef-ae6a-423c-8365-a19a2a08dc90.jpg,CJSN243818944RI,Specifications,Light Source Not Included,Size,Red,Electrical outlet,UK,0,0,31.18,31.18,,,,,0.00,0.00,31.18,31.18
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://oss-cf.cjdropshipping.com/product/2025/07/24/02/c3cee5ef-ae6a-423c-8365-a19a2a08dc90.jpg,CJSN243818945SH,Specifications,Light Source Not Included,Size,Red,Electrical outlet,AU,0,5430,31.18,31.18,,,,,0.00,0.00,31.18,31.18
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN_US,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://oss-cf.cjdropshipping.com/product/2025/07/24/02/c3cee5ef-ae6a-423c-8365-a19a2a08dc90.jpg,CJSN243818945SH,Specifications,Light Source Not Included,Size,Red,Electrical outlet,AU,0,0,31.18,31.18,,,,,0.00,0.00,31.18,31.18
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://oss-cf.cjdropshipping.com/product/2025/07/24/02/b75b6a71-4222-4ea5-acd3-a52ddeb8c06d.jpg,CJSN243818946TG,Specifications,Light Source Not Included,Size,Red Table Lamp,Electrical outlet,EU,0,5642,14.26,14.26,,,,,0.00,0.00,14.26,14.26
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN_US,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://oss-cf.cjdropshipping.com/product/2025/07/24/02/b75b6a71-4222-4ea5-acd3-a52ddeb8c06d.jpg,CJSN243818946TG,Specifications,Light Source Not Included,Size,Red Table Lamp,Electrical outlet,EU,0,0,14.26,14.26,,,,,0.00,0.00,14.26,14.26
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://oss-cf.cjdropshipping.com/product/2025/07/24/02/b75b6a71-4222-4ea5-acd3-a52ddeb8c06d.jpg,CJSN243818947UF,Specifications,Light Source Not Included,Size,Red Table Lamp,Electrical outlet,UK,0,8408,14.26,14.26,,,,,0.00,0.00,14.26,14.26
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN_US,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://oss-cf.cjdropshipping.com/product/2025/07/24/02/b75b6a71-4222-4ea5-acd3-a52ddeb8c06d.jpg,CJSN243818947UF,Specifications,Light Source Not Included,Size,Red Table Lamp,Electrical outlet,UK,0,0,14.26,14.26,,,,,0.00,0.00,14.26,14.26
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://oss-cf.cjdropshipping.com/product/2025/07/24/02/b75b6a71-4222-4ea5-acd3-a52ddeb8c06d.jpg,CJSN243818948VE,Specifications,Light Source Not Included,Size,Red Table Lamp,Electrical outlet,AU,0,5486,14.26,14.26,,,,,0.00,0.00,14.26,14.26
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN_US,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://oss-cf.cjdropshipping.com/product/2025/07/24/02/b75b6a71-4222-4ea5-acd3-a52ddeb8c06d.jpg,CJSN243818948VE,Specifications,Light Source Not Included,Size,Red Table Lamp,Electrical outlet,AU,0,0,14.26,14.26,,,,,0.00,0.00,14.26,14.26
